data_snap_source,tweet_date,user_name,tweet_text,word_count,image_tweet_text,image_description,image_subjects,image_contains_face,detected_persons,chapter_code,pmi_scores,pmi_sum,hedge_count,booster_count,epistemic_stance,epistemic_density,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu
FL_101,2-Mar,@FLChildren,"I had a great discussion with Pediatrician Paul Thomas, MD. We cover essentials of nutrition for moms. Pre-conception and early childhood nutrition.",23,"on) Children's Health Defense Fl... @ @FLChildren... -Mar2 J -= 5 fg youtube.com Nutrition for moms. Pre-conception and e... , | had a great discussion with Pediatrician =e! rem Paul Thomas, MD. We cover essentials of ... [o) a 9 tht 23 As",A YouTube video thumbnail showing two individuals in what appears to be a video interview format. The thumbnail is split with one person on the left side and another on the right side. There's a play button in the center indicating it's a video.,"video interview, YouTube content",True,,FL,,0.0,0,0,Neutral,0.0,0.8748,0.139,0.0,0.861
FL_102,25-Feb,@JustinWeRchange,Leesburg flip flops on fluoride! Public pressure and state bills made them cave! As they should! 😀 @FluorideAction,17,LEESBURG VOTES TO REMOVE FLUORIDE FROM CITY WATER,A news broadcast showing a reporter in a blue jacket with a cap standing in front of greenery at night. The chyron at the bottom shows 'LEESBURG VOTES TO REMOVE FLUORIDE FROM CITY WATER' with FOX branding. The location indicator shows 'LIVE LEESBURG'.,"news broadcast, reporter, outdoor setting",True,Reporter (not named),FL,,0.0,0,0,Neutral,0.0,-0.4545,0.078,0.171,0.751
FL_104,24-Feb,@Humanspective,"Dr Jay Bhattacharya: ""Censorship Activity k*lled people""",8,"Senator Ron Johnson is honing in on Mark Zuckerberg's Facebook and Meta, finding out who gave the orders to take down FB groups, which ultimately led to people taking their own lives. ""They took down these group chats of [Show more]""","The image shows a split-screen with the Facebook logo on a keyboard on the left side with the word 'providers' overlaid in yellow. On the right side is a person in a suit speaking, appearing to be Senator Ron Johnson. Below this is a banner reading 'FACEBOOK COVID CENSORSHIP' with 'Just The News: No Noise' branding. The second image shows another person speaking in what appears to be an interview setting with a timestamp of 2:21.","Facebook logo, keyboard, news broadcast, interview",True,Senator Ron Johnson,FL,,0.0,0,1,Neutral,2.0,0.0,0.0,0.0,1.0
FL_105,27-Feb,@ChildrensHD,"Hep B Vaccine: For the sexually active, drug using babies?

Make it make sense.

Why would we give an infant (on their first day of life) a vaccine for a disease that is only transmitted through sex and needles?

""There's just no reason whatsoever that a newborn, a one month old",52,THE DISEASES ARE NOT COMING AT THEM AT SUCH A RATE THAT,The image shows a video still with a person speaking in what appears to be an interview setting. The person is wearing a light-colored top. There is a caption overlay at the bottom of the image that reads 'THE DISEASES ARE NOT COMING AT THEM AT SUCH A RATE THAT'. The video has a timestamp of 1:12 and the CHDTV logo is visible in the corner.,"person, indoor setting, caption text",True,,FL,,0.0,1,0,Neutral,1.5625,0.2168,0.046,0.033,0.921
FL_106,25-Feb,@ChildrensHD,"💡 LONG VAX vs. LONG COVID

""Long COVID"" is just a catch all phrase for vaccine injury. In reality, the majority of people experiencing symptoms are experiencing ""long vax."" According to Dr. Pierre Kory, the majority of people experiencing ""long COVID"" acquired it post",43,"LONG VAX, THE SYNDROMES",The image shows an interview setting with two men in suits sitting across from each other in what appears to be a wood-paneled room. Between them is a graphic showing a blue-gloved hand holding a syringe with the text 'LONG VAX' and 'THE SYNDROMES' overlaid. The image has the Children's Health Defense logo in the corner and appears to be from a program called 'The Tucker Carlson Encounter' as indicated by a logo at the bottom right.,"interview setting, syringe graphic, text overlay",True,Two individuals in an interview setting,FL,"{('vax', 'long'): 3.760812336120574, ('vax', '.'): 3.34577483684173, ('vax', '""'): 2.760812336120574}",9.867399509082878,0,0,Neutral,0.0,-0.4215,0.0,0.055,0.945
FL_107,26-Feb,@FLChildren...,This is called being responsible with human lives and public health. Thank you @SecKennedy,14,BREAKING: RFK HALTS NEW COVID VACCINE 👊 💥 SAVES THOUSANDS BY IMMEDIATELY ENDING DANGEROUS HUMAN TRIALS ...,The image shows a person outdoors in a natural setting. They are wearing a gray t-shirt and standing in what appears to be a park or field with trees visible in the background. The lighting suggests it's during daytime.,"person, outdoors, trees, field",True,,FL,,0.0,0,0,Neutral,0.0,-0.368,0.123,0.162,0.716
FL_109,26-Feb,@FLChildren...,You cannot TREAT #Measles with #MMR #Vaccine! It's is a LIVE vaccine. This is crazy! What kind of world are we living in?! The research is CLEARs Vitamin A reduces risk by 50%!! Follow the science on Measles and #VitaminA!,41,HORRIFYING BREAKING NEWS: MMR Vaccine Given to Children With Measles,A screenshot of what appears to be a video or news segment from Children's Health Defense TV (CHD TV). The image shows vials of MMR (Measles-Mumps-Rubella) vaccine and syringes. There are two individuals shown in small panels on the left side of the image. The bottom of the image has text asking 'GETTING THE MMR VACCINE AS WELL?' and shows the CHD TV logo.,"vaccine vials, syringes, medical supplies, video screenshot",True,Two individuals in the video panels,FL,"{('vaccine', '#'): 3.4594316186372973, ('vaccine', 'mmr'): 4.459431618637297}",7.918863237274595,0,0,Neutral,0.0,-0.886,0.058,0.214,0.728
FL_11,17-Apr,@FLChildren,Thank you @G_W_Forum Aimee McBride for your testimony in support of the HB 477 weather modification bill. 👏,17,"@® Children's Health Defense Fl... @ @FLChildren... -Apr17 J -- Thank you @G_W Forum Aimee McBride for your testimony in support of the HB 477 weather modification bill. @ - = =) ap Lee oe = 9M) “a camp 3s” Ae | eS, Wi bee r — C a ast | ee —— —__ LORIDA, 2:05 — HANNE EE et [o} 2 92 tht 106 As","A legislative hearing taking place with a person speaking at a podium. The image shows a committee room with several attendees seated in the audience. There's a 'LIVE' indicator in the top right corner, and a timestamp showing 'APR 17, 2025 8:59 AM ET' along with 'THE FLORIDA CHANNEL' logo at the bottom right. The speaker appears to be giving testimony at what seems to be a State Affairs Committee meeting.","legislative hearing, podium, audience, committee room",True,,FL,,0.0,0,0,Neutral,0.0,0.9201,0.159,0.0,0.841
FL_12,17-Apr,@FLChildren...,"Watch the live State Affairs Committee as it debates HB 477 Weather Modification Bill and HB 1399 The Public Health Emergency Bill.
LIVESTREAM:",23,The Florida Channel - Connecting Florida,"A screenshot of The Florida Channel logo and branding. The image shows the channel's logo which appears to be a stylized sun or circular design with wave-like elements in orange/gold colors against a dark background. The text 'THE FLORIDA CHANNEL' is prominently displayed in blue letters, with 'The Florida Channel - Connecting Florida' as a tagline at the bottom.","logo, branding, media channel",False,,FL,,0.0,0,0,Neutral,0.0,-0.3818,0.0,0.085,0.915
FL_13,16-Apr,@elonmusk,"They can run, but they can't hide.",8,CENSORSHIP: The agency that silenced many of us here on X is no more. Secretary Rubio has notified Congress that he has eliminated all full-time staff positions and 100+ contractors at the State Department's CFIM formerly known as the Global Engagement Center - the State...,A graphic with a dark background featuring the U.S. Capitol building with a large red 'CENSORED' stamp across it. The image includes text stating 'SECRETARY RUBIO HAS SHUTDOWN THE STATE DEPARTMENT'S CENSORSHIP AGENCY' with additional explanatory text about Secretary Marco Rubio announcing the shutdown of the State Department's Counter Foreign Information Manipulation and Interference office. A person in a suit appears on the right side of the image. The AMUSEX logo appears in the corners.,"U.S. Capitol building, censorship stamp, political messaging",True,Marco Rubio,FL,,0.0,0,1,Neutral,1.851851851851852,0.4547,0.1,0.049,0.851
FL_15,16-Apr,@FLVoiceNews,"#BREAKING: Florida Senate passes farm bill that bans fluoride and other non-water additives in public drinking water, protects farmers and ranchers from ESG discrimination, and more",27,"Senate passes farm bill banning fluoride in water supply, guarding farm...",The image shows a person in a suit and tie smiling in what appears to be a government building or legislative chamber. The setting looks formal with what might be law books visible in the background.,"person, government setting, formal attire",True,,FL,,0.0,0,0,Neutral,0.0,0.3182,0.06,0.0,0.94
FL_16,16-Apr,@FLChildren...,The Fluoride lobbiest have been caught using Federal Funding to squash local efforts across states of residents who want fluoride out of their water supply.,25,"Profanity-laced Emails, Misuse of CDC Funds: How Big Fluoride Tries to...","A composite image showing the North Dakota state flag on the left side with red circles overlaid on it, and on the right side a child drinking from a glass of water. The image has text at the bottom about fluoride funding and CDC funds.","North Dakota flag, child, glass of water",True,,FL,,0.0,0,0,Neutral,0.0,0.0772,0.036,0.0,0.964
FL_17,10-Apr,@ChildrensHD,🚨HUGE NEWS: HHS @SecKennedy declares we will discover the cause of autism epidemic by September,15,"TRUMP: ""So it was 1 in 10,000 children had autism, and now it's 1 in 31. That's a horrible statistic, isn't it? And there's got to be something artificial out there that's doing"" [Show more button cuts off rest of quote]","A screenshot of a news broadcast showing a person in a suit and tie speaking at what appears to be a cabinet meeting. There's a caption overlay that reads ""SO THEY'RE GOING UP AGAIN FROM 1 IN 10,000 WHEN I WAS A KID."" The bottom of the screen has a news chyron that reads ""TRUMP HOLDS CABINET MEETING AS STOCKS SLIDE"" with the CNBC logo visible.","news broadcast, cabinet meeting, person in suit",True,A person in a suit at what appears to be a cabinet meeting,FL,,0.0,0,2,K+ (high certainty),3.225806451612903,-0.7165,0.0,0.096,0.904
FL_18,10-Apr,@FLChildren...,"🚨Fluoride is almost banned in Florida! We need your help to help for this become a reality. Please do this today. ⏰

1.) Call and your Florida state Senator to vote yes on SB 700.
2.) Call and email the chair of the House Commerce Committee, Representative Buchanan. Please ask
Show more",51,VOTE YES ON SB 700 & HB 651 FARM BILL WATER ADDITIVE PROVISIONS GIVE PEOPLE SAFE DRINKING WATER MAHA FLORIDA COALITION HEALTH FREEDOM LET YOUR VOICE BE HEARD,"A graphic with a purple background promoting voting yes on SB 700 and HB 651. It features green text saying 'VOTE YES' with a thumbs up icon, and black text for 'SB 700 & HB 651'. Below that is purple text reading 'FARM BILL' and black text stating 'WATER ADDITIVE PROVISIONS GIVE PEOPLE SAFE DRINKING WATER'. At the bottom is 'MAHA FLORIDA COALITION HEALTH FREEDOM' in gold/yellow text with 'LET YOUR VOICE BE HEARD' underneath.","voting promotion, legislation, water safety",False,,FL,,0.0,0,1,Neutral,1.282051282051282,0.9646,0.244,0.049,0.706
FL_02,21-Apr,@FLChildren...,"BREAKING‼️ SB 1288 passed it's final senate committee hearing and is headed for the Senate floor. Advocates for parental rights in medicine testified in front of the Florida Senate Rules Committee, including 11-year-old Emma Henry, in support of SB 1288. 👏👏 #ParentalRights Show more",46,"@® Children's Health Defense Fl... @ @FLChildren... -Apr21 J + BREAKING !! SB 1288 passed it’s final senate committee hearing and is headed for the Senate floor. Advocates for parental rights in medicine testified in front of the Florida Senate Rules Committee, including 11-year-old Emma Henry, in support of SB 1288. S&H} #ParentalRights Show more > 2 * eo ze Ps ‘ Vaasa al = "" o sre APR 21, 2025 CS/SB 1288 - Parental Rights UE % ‘3:34 PMET 2:40 FORD, LN 1°} a O3 tht 52 A Ss","The image shows a legislative hearing in progress. There appears to be a committee room with several people seated in rows. In the foreground, a person in a black patterned dress appears to be testifying or speaking at a podium, reading from papers. The room contains multiple attendees seated in the audience. A 'LIVE' indicator is visible in the top right corner, and the bottom of the screen shows it's sponsored by the Senate Committee on Judiciary and Senator Grall, broadcast on The Florida Channel.","legislative hearing, committee room, audience, speaker",True,,FL,,0.0,0,2,K+ (high certainty),1.503759398496241,0.7568,0.051,0.0,0.949
FL_20,9-Apr,@FLChildren...,We are going to @boldlygrow's upcoming Space. Will you join too?,12,THE MIDDAY MAHA 010: GUEST SANDI MARCUS OF GEORGIA VAX CHOICE,"A screenshot of a Twitter Space titled 'THE MIDDAY MAHA 010: GUEST SANDI MARCUS OF GEORGIA VAX CHOICE' with a purple background. It shows information about the Space including that it had 269 listeners, was on Apr 9, lasted 1:58:42, and has a 'Play recording' button.","Twitter Space, recording information",True,,FL,,0.0,0,1,Neutral,4.347826086956522,0.296,0.095,0.0,0.905
FL_21,9-Apr,@FLChildren...,Hey all! Join us for this X Space at 2pm as we discuss some of the MAHA bills across the country.,21,THE MIDDAY MAHA 010: GUEST SANDI MARCUS OF GEORGIA VAX CHOICE,"A screenshot of an X Space titled 'THE MIDDAY MAHA 010: GUEST SANDI MARCUS OF GEORGIA VAX CHOICE' with a purple background. It shows that 269 people tuned in, the date is Apr 9, and the time is 1:58:42. There's a 'Play recording' button visible at the bottom of the Space card.","X Space, recording information, play button",True,,FL,,0.0,0,0,Neutral,0.0,0.3595,0.074,0.0,0.926
FL_22,8-Apr,@ChildrensHD,"FACT: There are many more deaths from the MMR vaccine than from measles.

The shocking truth about the MMR vaccine, a vaccine that's supposed to prevent measles, is that more people in the United States have died from the vaccine itself (according to @CDCgov's VAERS) than have",49,"Children's Health Defense Florida reposted Children’s Health Defense @ @ChildrensHD - Apr 8 Bo y FACT: There are many more deaths from the MMR vaccine than from measles. The shocking truth about the MMR vaccine, a vaccine that’s supposed to prevent measles, is that more people in the United States have died from the vaccine itself (according to @CDCgov's VAERS) than have Show more @ LIVE am | 5 4 = | | i <o = | “i a — M ~F , $. i ""A Ree Po ey G BriantHookertph: Ds YOUR CHILD FOR THE YOUR CHILD MAY DIE. (G23 inked CHD =r : Lae as CHILDREN'S HEALTH DEFENSE O69 Tt 629 9 13k ih 37K As",A screenshot of a live video stream showing two individuals in a split-screen format. The video appears to be from Children's Health Defense TV (CHD TV). The bottom of the image contains text warning about MMR vaccines. There's a timestamp of 2:23 visible in the corner.,"video stream, people, text overlay",True,,FL,"{('vaccine', 'mmr'): 4.6653359171851765, ('vaccine', 'measles'): 3.665335917185176, ('vaccine', ','): 4.343407822297814, ('vaccine', 'died'): 4.6653359171851765, ('vaccine', '('): 4.08037341646402, ('vaccine', 'according'): 4.6653359171851765}",26.08512490750254,1,5,K+ (high certainty),3.773584905660377,-0.8481,0.094,0.111,0.796
FL_23,6-Apr,@radioactivestox,Let's go! #makemiamifluoridefree !!!,4,Children's Health Defense Florida reposted (se) Make Miami Fluoride Free @ @radioactivestox-Apr6 (J *> Let’s go! #makemiamifluoridefree !!! O1 ta O7 ihn 140 A Ss,"A graphic design with a teal background featuring the text 'MAKE MIAMI FLUORIDE FREE' in large white letters. The design includes a yellow sun at the top, two palm trees on either side, and stylized water waves at the bottom. The overall aesthetic is reminiscent of Miami's tropical beach theme.","text, sun, palm trees, waves",False,,FL,,0.0,0,0,Neutral,0.0,0.7156,0.181,0.0,0.819
FL_24,6-Apr,@ChildrensHD,"""Let's honor autistic children and adults everywhere by demanding our federal agencies unlock the four decades of data that hold the secrets to why autism rates are soaring — so we can end the autism epidemic once and for all."" @maryhollandnyc",41,We Can End the Autism Epidemic — By Telling the Truth,"The image shows silhouettes of several people with raised arms against a sunset/sunrise sky. The silhouettes appear to be of children or young people. The image has a colorful puzzle piece border in red, blue, yellow colors, which is commonly associated with autism awareness. At the bottom of the image is text that reads 'We Can End the Autism Epidemic — By Telling the Truth'.","silhouettes, sky, puzzle pieces, text",True,,FL,,0.0,0,1,Neutral,1.96078431372549,0.5574,0.098,0.034,0.869
FL_25,7-Apr,@JustinWeRchange,"Seminole County! If you want fluoride removed you better fill those seats, fill those emails or both! @standforhealth1",18,"FLORIDA - ""Seminole County could be one step closer to removing fluoride from its water supply. County commissioners will get an update on Tuesday and discuss a new proposal.""",A news broadcast screenshot showing a news segment about a fluoride in water supply vote in Seminole County. The image shows a news presenter in a blue sleeveless top against a cityscape background. The Seminole County logo is visible in the upper right corner with a chyron that reads 'FLUORIDE IN WATER SUPPLY VOTE'.,"news broadcast, Seminole County logo, cityscape",True,,FL,,0.0,1,1,Mixed,4.347826086956522,0.5837,0.096,0.0,0.904
FL_26,7-Apr,@FLChildren,"We concur with @johnrich Mr. President, and we hope that you will not only stop gloating about the #COVIDvaccines but you will have an investigation into the fraud and global agenda players involved. @Potus",34,"John Rich Shares the Conversation That Got Trump to Stop Talking About the COVID Vaccine ""He goes, why are people booing me at my rallies when I bring up the vaccine?... I said here's why they're booing you, Mr. ... Show more","The image shows a person in a red and black plaid shirt and black cowboy hat sitting at what appears to be a podcast or interview setup. There's a microphone in front of them, and the background includes rustic decor with musical instruments (including what looks like a banjo) and a sign that says 'TRY THAT'. The video appears to be 6:53 in length according to the timestamp.","person, microphone, studio setting, musical instruments",True,A person in cowboy attire,FL,"{('vaccine', '.'): 3.415037499278844}",3.415037499278844,0,3,K+ (high certainty),3.896103896103896,0.2718,0.125,0.09,0.786
FL_27,7-Apr,@FLChildren...,🚨Floridians🚨 SB700 is going to committee on 4/8/2025!! Please contact members of the committee to pass the bill: https://flsenate.gov/Committees/Show/FP?pref=full...,28,‼️ FLUORIDE ACTION ALERT 📢 1.) Please call and email Rep Buchanan's office (chair) and ask him to add HB 651 (Fluoride Farm Bill) to the Commerce Committee agenda: (850) 717-5074 https://www.flhouse.gov/Sections/Representatives/custom/contactmember.aspx?MemberId=4731&LegislativeTermId=91 2.) SB 700 will be heard tomorrow (4/3/2025) in the Fiscal Policy Committee at 2:00 pm. Please call and email all members of the this committee and ask them to pass this fluoride bill! https://www.flsenate.gov/Committees/Show/FP?pref=full,A screenshot of a fluoride action alert with instructions for contacting legislators about fluoride-related bills in Florida,"text, alert message, contact information",False,,FL,,0.0,0,3,K+ (high certainty),2.542372881355933,0.882,0.112,0.0,0.888
FL_28,7-Apr,@FLChildren...,🚨Floridians🚨 HB 651 needs to be added to the Commerce Committee! Email @RepBuchanan here: https://flhouse.gov/Sections/Representatives/custom/contactmember.aspx?MemberId=4731&LegislativeTermId=91...,26,"⚠️ FLUORIDE ACTION ALERT 📱
1.) Please call and email Rep Buchanan's office (chair) and ask him to add HB 651 (Fluoride Farm Bill) to the Commerce Committee agenda: (850) 717-5074 https://www.flhouse.gov/Sections/Representatives/custom/contactmember.aspx?MemberId=4731&LegislativeTermId=91

2.) SB 700 will be heard tomorrow (4/3/2025) in the Fiscal Policy Committee at 2:00 pm. Please call and email all members of the this committee and ask them to pass this fluoride bill! https://www.flsenate.gov/Committees/Show/FP?pref=full","A gray text box containing a fluoride action alert with instructions for contacting representatives about fluoride-related bills HB 651 and SB 700, including phone numbers and website links.","text box, alert message, contact information",False,,FL,,0.0,0,2,K+ (high certainty),1.724137931034483,0.8251,0.092,0.0,0.908
FL_29,7-Apr,@FLChildren...,🚨Floridians🚨 SB 1270 needs to be added to the next Appropriations Committee. Email @jaytrumbull here: https://flsenate.gov/Senators/s2?pref=full...,22,🚨ACTION ALERT for Florida🚨 PROTECT FLORIDIANS FROM VACCINE STATUS DISCRIMINATION: 1.) Please call Senator Trumbull at (850) 487-5002 and ask him to add SB 1270 to the next Appropriations Committee for HHS. It is VITAL that this bill is on the next meeting's agenda. Email him here: https://www.flsenate.gov/Senators/s2?pref=full 2.) Please call Representative Tomkow at (850) 717-5051 and ask her to add HB 1299 (Companion bill) to her HHS Committee. https://www.flhouse.gov/Sections/Representatives/contactmember.aspx?,A screenshot of an action alert for Florida residents regarding vaccine status discrimination legislation. The alert is formatted as a text box with a red alert emoji at the top and contains contact information for legislators.,"action alert, text information, contact details",False,,FL,,0.0,0,0,Neutral,0.0,0.9237,0.136,0.0,0.864
FL_03,20-Apr,@FLChildren...,Wait until you learn that ALL of the vaccines on the pediatric vaccine schedule have never been tested against an inert placebo (except COVID-19) and that none of them have been proven safe or had any longterm safety studies. Learn more here: https://icandecide.org/article/childhood-vaccine-trials-summary-chart/...,52,"""This is insane - this has 6 Vaccines in 1"" ""There is no test against a placebo, it's only tested against other vaccinations""",The image shows a person wearing a light-colored medical coat with a stethoscope around their neck. They appear to be speaking in what looks like a video clip with a duration of 1:40 shown at the bottom. The person is wearing glasses and has a label or badge visible that says 'vaccine'.,"medical professional, stethoscope, medical setting",True,Unidentified medical professional,FL,"{('vaccine', '-'): 4.658211482751795}",4.658211482751795,0,2,K+ (high certainty),2.666666666666667,0.2023,0.079,0.067,0.854
FL_31,6-Apr,@FLChildren...,🚨 🚨 🚨 🚨 🚨,0,‼️ Action Alert for Florida🚨 PROTECT FLORIDIANS FROM VACCINE STATUS DISCRIMINATION: 1.) Please call Senator Trumbull at (850) 487-5002 and ask him to add SB 1270 to the next Appropriations Committee for HHS. It is VITAL that this bill is on the next meeting's agenda...,"The image shows a quote tweet with an infographic about Senate Bill 1270 in Florida. The infographic has a dark blue background with American flag elements and text that reads 'MAKE AMERICAN HEALTHY AGAIN' at the top. It explains that SB 1270 seeks to protect Floridians' healthcare rights, particularly regarding mRNA vaccine mandates and preventing discrimination based on vaccination status.","infographic, American flag, political message",False,,FL,,0.0,0,0,Neutral,0.0,0.8679,0.15,0.0,0.85
FL_32,4-Apr,@FLChildren,"‼️ MAHA ACTION ALERT🚨

If you live in Florida and don't want Pesticide Companies to get liability protections from the harms of their toxic products, please contact the members on the Housing, Agriculture & Tourism Subcommittee: (850) 717-4870
Each member may be contacted here:
Show more",46,VOTE NO ON HB 129 & SB 992 IMMUNITY FOR PESTICIDE MANUFACTURERS MAHA FLORIDA COALITION HEALTH FREEDOM LET YOUR VOICE BE HEARD,A graphic with a red and white design featuring a thumbs down icon and text that reads 'VOTE NO ON HB 129 & SB 992 IMMUNITY FOR PESTICIDE MANUFACTURERS' with 'MAHA FLORIDA COALITION HEALTH FREEDOM LET YOUR VOICE BE HEARD' at the bottom in smaller text.,"thumbs down icon, text, call to action",False,,FL,,0.0,1,1,Mixed,2.985074626865671,0.4084,0.119,0.11,0.771
FL_33,4-Apr,@FLChildren...,,0,MAHA FLORIDA COALITION HEALTH FREEDOM + PROTECT HEALTH FREEDOM +,"The image shows a promotional graphic for the 'MAHA Florida Coalition Health Freedom' campaign. The graphic contains multiple sections promoting various Florida bills related to health freedom. It includes information about prohibiting international health organization policies (SB 940, HB 6011, HB 1035), weather modification (SB 96, HB 477), food additives (SB 764, HB 641), claims for adverse reactions to vaccines and drugs (SB 1362, HB 149), foods containing vaccines or vaccine materials (SB 196, HB 525), and chemical additives in food products (SB 560, HB 595). The graphic mentions Donald Trump and HHS Secretary Robert F. Kennedy Jr. in relation to addressing chronic disease epidemics in America.","political campaign, health legislation, Florida bills",False,,FL,,0.0,0,0,Neutral,0.0,0.9349,0.623,0.0,0.377
FL_34,4-Apr,@FLChildren...,,0,") Children's Health Defense Fl... @ | PARENTAL RIGHTS | =a | AMENDMENT BILL ""A PUBLIC HEALTH TN MEDICINE EMERGENCY ©1233) > 1372 (D505 (Bis9 | ‘eyor ots rst | = ""Joctrs shoud be. pocorn dae raping tev eMron Bees eee crater econ Sees REINSTATING 8 | WATER ADDITIVE IMMUNITY FOR REGULATING NATU- PROVISIONS PESTICIDE ROPATHIC MEDICINE MANUFACTURERS ~ 700 — 3 Po Ds peuiaateval Dow Floridians want choles Riese LUnbity reo indies interes ee, seen mates forced cri ‘coors dager REDUCING PARENTAL . i : ICAL PROCEDURES Forum | Fire rr - ~ MAHA es) O37 (ame) “nee <> 29 (2%) sTAND,For oe - ay pape","An infographic showing Florida health-related bills with voting recommendations. The graphic is organized in a grid with 6 boxes, each describing a different bill with corresponding bill numbers (SB/HB) and voting recommendations (YES/NO). The bills cover parental rights in medicine, public health emergency declarations, water additive provisions, pesticide manufacturing, and parental consent for medical procedures. At the bottom are logos of sponsoring organizations including Children's Health Defense Florida Chapter, Global Wellness Forum, MAHA, and others.","legislation, health bills, voting recommendations, organizational logos",False,,FL,,0.0,0,0,Neutral,0.0,-0.9463,0.023,0.142,0.835
FL_35,3-Apr,@FLChildren,"🚨BREAKING🚨
The Florida House Civil Justice & Claims Subcommittee just voted 10-4 to give Pesticide Manufacturers protections from liability!! All the republicans voted YES for this HB 129!?!? This is a terrible bill. #KillTheBill #HB129",35,Pesticide Companies Are being Shielded from Liability!? #KillTheBill HB 129,A protest image showing someone holding up a sign that reads 'Pesticide Companies Are being Shielded from Liability!? #KillTheBill HB 129'. The person is wearing sunglasses and appears to be at some kind of demonstration or rally. There's a Florida flag visible in the background.,"protest sign, demonstrator, Florida flag",True,,FL,,0.0,0,0,Neutral,0.0,0.5915,0.142,0.111,0.747
FL_39,2-Apr,@G_W_Forum,"Thank you @GovRonDeSantis & @IleanaGarciaUSA for pushing forward with the strongest bill in the country that not only completely prohibits any and all forms of weather modification but also criminalizes it with a $100,000 fine and makes it a felony crime punishable by Florida",44,"I support the bill by Senator @IleanaGarciaUSA to ban geoengineering and weather modification. The Florida house, though, has gutted the bill and actually codified the practices....",The image shows a person in a dark suit with a red tie seated at what appears to be a desk or table in an official-looking setting. Behind them is a wooden paneled wall and what look like framed photos on a desk. The setting appears to be an office environment with formal decor.,"person in suit, office setting, desk",True,,FL,,0.0,0,0,Neutral,0.0,-0.9153,0.105,0.203,0.691
FL_40,3-Apr,@FLChildrenHD,"‼️ BREAKING ‼️
Florida's weather modification/ geo-engineering Senate Bill 56 just passed on the Senate Floor 28-9.❤️
The Florida House needs to adopt this version of the bill as their version (HB 477) was amended to actually enables more geo-engineering practices.",43,") Children's Health Defense Fl... @ @FLChildren... -Apr3 J + || BREAKING !! Florida’s weather modification/ geo-engineering Senate Bill 56 just passed on the Senate Floor 28-9. W The Florida House needs to adopt this version of the bill as their version (HB 477) was amended to actually enables more geo- engineering practices. f i mM 4 pale FLORIDA: conse 6 ® 0m wa md oe = IS fo CS tim A oe j eo } is - t a)! | <a, —— ——_£ O1 3 O5 ln 87 As","The image shows a Florida Senate chamber during a vote on Senate Bill 56. The voting board displays the results with 28 Yeas (in green) and 9 Nays (in red). The chamber has portraits of officials on the wall, and the session appears to be in progress with people seated in the chamber. The bottom of the screen shows '3R CS/CS/SB 56' indicating the bill number.","Florida Senate chamber, voting board, legislative session",True,,FL,,0.0,0,0,Neutral,0.0,0.5826,0.041,0.0,0.959
FL_41,31-Mar,@ChildrensHD,What Big Pharma Doesn't Want You to Know About Vitamin C,12,"""Mortality rates would plummet."" We are told you can't treat measles, so it must be ""prevented"" with a vaccine, a convenient story that generates billions for the medical-industrial complex. However, Dr. Suzanne",A screenshot of a video call showing two individuals in a split-screen format. The video appears to be from CHD TV (Children's Health Defense TV). The video has a timestamp of 1:11 and includes text at the bottom saying 'WE WOULD SEE SUCH A HUGE DIFFERENCE.' The CHD TV logo is visible in the corner.,"video call, split screen, text overlay, logo",True,Two individuals in a video call,FL,,0.0,1,2,K+ (high certainty),6.521739130434782,-0.0464,0.072,0.076,0.852
FL_42,2-Apr,@FLChildren...,This is vitally important. Please share,6,"I support the bill by Senator @IleanaGarciaUSA to ban geoengineering and weather modification. The Florida house, though, has gutted the bill and actually codified the practices.... Show more","The image shows a person in a dark suit with a red tie sitting at a desk in what appears to be an office setting. Behind them is a wooden wall with what looks like a seal or emblem, and there are some framed photos visible on a desk or cabinet in the background. The image appears to be a screenshot from a video, as indicated by the 0:28 timestamp visible in the corner.","person in office, desk, official setting",True,A government official,FL,,0.0,0,1,Neutral,2.941176470588235,0.6705,0.26,0.084,0.656
FL_43,1-Apr,@FLChildren,BREAKING ‼️ Miami-Dade will stop fluoridating the public's drinking water! Thanks to @FLSurgeonGen for being the catalyst and for showing up in support of this discussion and ultimate decision. Well done Miami Dade!,34,"What a win for the people! Today, the Miami-Dade County Commission voted to stop fluoridating their water. Comm. @RobJGonzalezFL's courageous leadership, and all who supported him, made this possible. Current science supports the decision, and it's a good day for medical freedom!",The image shows four people in professional attire standing together in what appears to be an official government meeting room. There are flags visible in the background including the American flag and what appears to be the Florida state flag. The individuals are dressed in business attire with some wearing suits.,"people in formal attire, government meeting room, flags",True,Officials at a government meeting,FL,,0.0,0,1,Neutral,1.265822784810127,0.9737,0.284,0.045,0.671
FL_44,31-Mar,@JustinWeRchange,Florida Farm Bill With Fluoride Ban Passes Another House Committee,10,Florida Farm Bill's fluoride preemption gets MAHA seal of approval in House committee. 'It's the primary ingredient in rat poison.',The image shows a water tower against a cloudy sky background with text overlay that reads 'Florida Farm Bill's fluoride preemption gets MAHA seal of approval in House committee' and at the bottom 'It's the primary ingredient in rat poison.',"water tower, sky, clouds",False,,FL,,0.0,0,0,Neutral,0.0,-0.6124,0.083,0.191,0.726
